gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,exchg,cik,costat,naicsh,sich,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,stko
033666,2020/12/31,2020,INDL,C,D,STD,FLDR,316188408,FIDELTY LW DRTN BND FCTR ETF,USD,21,,A,,,,,,,525910,6722,,,
033668,2020/12/31,2020,INDL,C,D,STD,BE,093712107,BLOOM ENERGY CORP,USD,11,0001664703,A,335312,3621,2010,201040,20,20104020,335312,3621,,,0
033684,2020/12/31,2020,INDL,C,D,STD,EPRT,29670E107,ESSENTIAL PPT RLTY TST,USD,11,0001728951,A,5311,6798,6010,601010,60,60101010,5311,6798,,,0
033685,2020/12/31,2020,INDL,C,D,STD,BBRE,46641Q738,JPMORGAN BETBLDR MSCI US ETF,USD,21,,A,,,,,,,525910,6722,,,
033686,2020/12/31,2020,INDL,C,D,STD,BBJP,46641Q217,JPMORGAN BETABULDR JAPAN ETF,USD,21,,A,,,,,,,525910,6722,,,
033688,2020/12/31,2020,INDL,C,D,STD,BBEU,46641Q191,JPMORGAN BETABULDR EUROP ETF,USD,21,,A,,,,,,,525910,6722,,,
033692,2020/12/31,2020,INDL,C,D,STD,XLC,81369Y852,COMMUNCTN SRVC SLCT SCTR ETF,USD,17,,A,,,,,,,525910,6722,,,
033693,2020/12/31,2020,INDL,C,D,STD,RPAY,76029L100,REPAY HOLDINGS CORP,USD,14,0001720592,A,518210,7374,4510,451020,45,45102020,518210,7374,,,0
033694,2020/12/31,2020,INDL,C,D,STD,EVER,30041R108,EVERQUOTE INC,USD,14,0001640428,A,519130,7370,5020,502030,50,50203010,519130,7370,,,0
033695,2020/12/31,2020,INDL,C,D,STD,CCB,19046P209,COASTAL FINANCIAL CORP,USD,14,0001437958,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
033695,2020/12/31,2020,FS,C,D,STD,CCB,19046P209,COASTAL FINANCIAL CORP,USD,14,0001437958,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
033698,2020/12/31,2020,INDL,C,D,STD,STIM,64131A105,NEURONETICS INC,USD,14,0001227636,A,334510,3845,3510,351010,35,35101010,334510,3845,,,0
033703,2020/12/31,2020,INDL,C,D,STD,TLRY.1,88699C930,TILRAY INC -OLD,USD,14,,I,325412,2834,3520,352020,35,35202010,325412,2834,,,0
033704,2020/12/31,2020,INDL,C,D,STD,MYFW,33751L105,FIRST WSTRN FINNCIL INC,USD,14,0001327607,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
033704,2020/12/31,2020,FS,C,D,STD,MYFW,33751L105,FIRST WSTRN FINNCIL INC,USD,14,0001327607,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
033708,2020/12/31,2020,INDL,C,D,STD,RVI,76133Q102,RETAIL VALUE INC,USD,11,0001735184,A,531120,6798,6010,601010,60,60101070,531120,6798,,,0
033714,2020/12/31,2020,INDL,C,D,STD,HBGD.,44054U106,HORIZONS BG DATA & HRDWR ETF,CAD,7,,A,,,,,,,525910,6722,,,
033718,2020/01/31,2019,INDL,C,D,STD,BJ,05550J101,BJS WHSL CLUB HLDGS INC,USD,11,0001531152,A,452311,5399,3010,301010,30,30101040,452311,5399,,,0
033719,2020/03/31,2019,INDL,C,D,STD,REPL,76029N106,REPLIMUNE GROUP INC,USD,14,0001737953,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033720,2020/12/31,2020,INDL,C,D,STD,RUBY,78116T103,RUBIUS THERAPEUTICS INC,USD,14,0001709401,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033721,2020/12/31,2020,INDL,C,D,STD,ALLK,01671P100,ALLAKOS INC,USD,14,0001564824,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033723,2020/12/31,2020,INDL,C,D,STD,CRNX,22663K107,CRINETICS PHARMCTCL INC,USD,14,0001658247,A,325412,2834,3520,352010,35,35201010,325412,2834,,,0
033724,2020/12/31,2020,INDL,C,D,STD,CNST,210373106,CONSTELLATION PHARMCTCL,USD,14,0001434418,I,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033725,2020/12/31,2020,INDL,C,D,STD,WISA,86633R203,SUMMIT WIRELESS TECH INC,USD,14,0001682149,A,334413,3674,4530,453010,45,45301020,334413,3674,,,0
033728,2020/12/31,2020,INDL,C,D,STD,SGML,826599102,SIGMA LITHIUM CORP,CAD,14,0001848309,A,,,1510,151040,15,15104020,212,1000,,,0
033731,2020/06/30,2020,INDL,C,D,STD,HCCH,G4603R106,HL ACQUISITION CORP,USD,14,0001736874,I,999990,9995,,,,,999990,9995,,,0
033733,2020/12/31,2020,INDL,C,D,STD,LEGH,52472M101,LEGACY HOUSING CORP,USD,14,0001436208,A,321991,2451,2520,252010,25,25201030,321991,2451,,,0
033734,2020/12/31,2020,INDL,C,D,STD,NFH,G6461G106,NEW FRONTIER HEALTH CORP,USD,11,0001737422,A,622110,8062,3510,351020,35,35102020,622110,8062,,,0
033739,2020/12/31,2020,INDL,C,D,STD,IRBO,46435U556,ISHARE RBTC ARTFCL INTLG-ETF,USD,17,,A,,,,,,,525910,6722,,,
033740,2020/12/31,2020,INDL,C,D,STD,KHYB,500767843,KRANESHARE CCBS CHN CPRT ETF,USD,17,,A,,,,,,,525910,6722,,,
033743,2020/12/31,2020,INDL,C,D,STD,AQST,03843E104,AQUESTIVE THERAPETC INC,USD,14,0001398733,A,325412,2834,3520,352020,35,35202010,325412,2834,,,0
033744,2020/12/31,2020,INDL,C,D,STD,MI.UN,60448E103,MINTO APARTMENT,CAD,7,,A,,,6010,601010,60,60101060,531110,6798,,,0
033747,2020/12/31,2020,INDL,C,D,STD,ENS.,26916F104,E SPLIT CORP,CAD,7,,A,,,,,,,523999,6799,,,0
033748,2020/12/31,2020,INDL,C,D,STD,ACES,00162Q460,ALPS CLEAN ENERGY ETF,USD,17,,A,,,,,,,525910,6722,,,
033749,2020/12/31,2020,INDL,C,D,STD,BNGO,09075F107,BIONANO GENOMICS INC,USD,14,0001411690,A,339112,3841,3520,352030,35,35203010,339112,3841,,,0
033750,2020/12/31,2020,INDL,C,D,STD,IAA,449253103,IAA INC,USD,11,0001745041,A,4411,5500,2020,202010,20,20201070,4411,5500,,,0
033751,2020/12/31,2020,INDL,C,D,STD,PRVB,74374N102,PROVENTION BIO INC,USD,14,0001695357,A,325414,2836,3520,352020,35,35202010,325414,2836,,,0
033756,2020/03/31,2019,INDL,C,D,STD,WAFU,G94184101,WAH FU EDUCATION GROUP LTD,USD,14,0001716770,A,611699,8200,2530,253020,25,25302010,611699,8200,,,0
033759,2020/12/31,2020,INDL,C,D,STD,TENB,88025T102,TENABLE HOLDINGS INC,USD,14,0001660280,A,519130,7370,4510,451030,45,45103020,519130,7370,,,0
033764,2020/12/31,2020,INDL,C,D,STD,MAVBF,57767U106,MAV BEAUTY BRANDS INC,USD,19,,A,325620,2840,3030,303020,30,30302010,325620,2840,,,0
033766,2020/12/31,2020,INDL,C,D,STD,ARLO,04206A101,ARLO TECHNOLOGIES INC,USD,11,0001736946,A,334290,3669,4520,452030,45,45203010,334290,3669,,,0
033767,2020/09/30,2020,INDL,C,D,STD,SONO,83570H108,SONOS INC,USD,14,0001314727,A,334310,3651,2520,252010,25,25201010,334310,3651,,,0
033779,2020/12/31,2020,INDL,C,D,STD,ESTA,G31249108,ESTABLISHMNT LBS HLDNG,USD,14,0001688757,A,339113,3842,3510,351010,35,35101020,339113,3842,,,0
033780,2020/12/31,2020,INDL,C,D,STD,VCNX,918640103,VACCINEX INC,USD,14,0001205922,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033781,2020/12/31,2020,INDL,C,D,STD,TBLT,89157G504,TOUGHBUILT INDUSTRIES,USD,14,0001668370,A,332216,3420,2520,252030,25,25203010,332216,3420,,,0
033787,2020/12/31,2020,INDL,C,D,STD,OPER,26922A453,CLEARSHAR ULTR SHRT MTRY ETF,USD,17,,A,,,,,,,525910,6722,,,
033788,2020/12/31,2020,INDL,C,D,STD,DWSH,00768Y529,ADVISORSHR DRSY WRGT SHR ETF,USD,14,,A,,,,,,,525910,6722,,,
033790,2020/12/31,2020,INDL,C,D,STD,DWMC,00768Y537,ADVISORSHR DRSY WGT MRCP ETF,USD,14,,A,,,,,,,525910,6722,,,
033798,2020/12/31,2020,INDL,C,D,STD,YAYO,985294107,EVMO INC,USD,19,0001691077,A,518210,7370,2030,203040,20,20304020,518210,7370,,,3
033809,2020/12/31,2020,INDL,C,D,STD,CWK,G2717B108,CUSHMAN & WAKEFIELD,USD,11,0001628369,A,531312,6531,6010,601020,60,60102040,531312,6531,,,0
033810,2020/12/31,2020,INDL,C,D,STD,LQDA,53635D202,LIQUIDIA CORP,USD,14,0001819576,A,325414,2836,3520,352020,35,35202010,325414,2836,,,0
033816,2020/03/31,2019,INDL,C,D,STD,UROV,G9381B108,UROVANT SCIENCES LTD,USD,14,0001740547,I,325414,2836,3520,352020,35,35202010,325414,2836,,,0
033817,2020/06/30,2020,INDL,C,D,STD,PHCF,G7306H101,PUHUI WLTH INV MNGT CO,USD,14,0001729089,A,523930,6282,4020,402030,40,40203010,523930,6282,,,0
033818,2020/12/31,2020,INDL,C,D,STD,ONLN,74347B169,PROSHARES ONLINE RETAIL ETF,USD,17,,A,,,,,,,525910,6722,,,
033824,2020/12/31,2020,INDL,C,D,STD,RMED,74933X203,RA MEDICAL SYSTEMS INC,USD,12,0001716621,A,334510,3845,3510,351010,35,35101010,334510,3845,,,0
033825,2020/12/31,2020,INDL,C,D,STD,PT,72352G107,PINTEC TCHN HLDN -ADR,USD,14,0001716338,A,519130,7370,4020,402020,40,40202010,519130,7370,,,0
033826,2020/12/31,2020,INDL,C,D,STD,QDIV,37954Y616,GLOBAL X SP 500 QUAL DIV ETF,USD,17,,A,,,,,,,525910,6722,,,
033827,2020/06/30,2020,INDL,C,D,STD,NINK,62987R107,NAMI CORP,USD,19,0001567388,A,212322,1400,1510,151040,15,15104020,212322,1400,,,3
033845,2020/12/31,2020,INDL,C,D,STD,OSCV,26922A446,OPUS SMALL CAP VALE PLUS ETF,USD,17,,A,,,,,,,525910,6722,,,
033846,2020/12/31,2020,INDL,C,D,STD,HYGV,33939L662,FLEXSHARE HG YLD VLU SRD-ETF,USD,17,,A,,,,,,,525910,6722,,,
033850,2020/12/31,2020,INDL,C,D,STD,OPRA,68373M107,OPERA LTD -ADR,USD,14,0001737450,A,519130,7370,4510,451030,45,45103010,519130,7370,,,0
033852,2020/12/31,2020,INDL,C,D,STD,JG,051857100,AURORA MOBILE -ADR,USD,14,0001737339,A,519130,7370,4510,451030,45,45103010,519130,7370,,,0
033855,2020/12/31,2020,INDL,C,D,STD,ARDS,040334104,ARIDIS PHARMACEUTICALS,USD,14,0001614067,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
033856,2020/12/31,2020,INDL,C,D,STD,NACP,45259A209,IMPACT SHARE NCP MTY EMP ETF,USD,17,,A,,,,,,,525910,6722,,,
033858,2020/12/31,2020,INDL,C,D,STD,DPLS,237245105,DARKPULSE INC,USD,19,0000866439,A,334413,3674,4520,452030,45,45203010,334413,3674,,,3
033859,2020/12/31,2020,INDL,C,D,STD,CANG,137586103,CANGO INC,USD,11,0001725123,A,519130,7370,2550,255020,25,25502020,519130,7370,,,0
033861,2020/12/31,2020,INDL,C,D,STD,PDD,722304102,PINDUODUO INC -ADR,USD,14,0001737806,A,519130,7370,2550,255020,25,25502020,519130,7370,,,0
033881,2020/12/31,2020,INDL,C,D,STD,SZNE,69374H691,PACER CFRA STVL EQL WGT ETF,USD,17,,A,,,,,,,525910,6722,,,
033882,2020/12/31,2020,INDL,C,D,STD,TRVCF,88159E103,TERVITA CORP,CAD,19,,I,,,1010,101010,10,10101020,,4953,,,0
033883,2020/12/31,2020,INDL,C,D,STD,FCTR,33733E872,FIRST TRUST LNT U.S. FCR ETF,USD,21,,A,,,,,,,525910,6722,,,
033886,2020/12/31,2020,INDL,C,D,STD,LOUP,45782C862,INNOVATOR LOUP FNTR TECH ETF,USD,17,,A,,,,,,,525910,6722,,,
033911,2020/12/31,2020,INDL,C,D,STD,IMXI,46005L101,INTERNATIONAL MONEY EXPR INC,USD,14,0001683695,A,522320,6099,4510,451020,45,45102020,522320,6099,,,0
033913,2020/06/30,2020,INDL,C,D,STD,DAVA,29260V105,ENDAVA PLC -ADR,USD,11,0001656081,A,541512,7373,4510,451020,45,45102010,541512,7373,,,0
033932,2020/12/31,2020,INDL,C,D,STD,FGO.,12558H103,CI ENHANCED GOVT BOND ETF,CAD,7,,A,,,,,,,525910,6722,,,
033933,2020/12/31,2020,INDL,C,D,STD,TFIV,37954Y582,GLOBAL X TARGETINCOME 5 ETF,USD,21,,A,,,,,,,525910,6722,,,
033934,2020/12/31,2020,INDL,C,D,STD,TFLT,37954Y590,GLOBAL X TRGTNCME PLUS 2 ETF,USD,21,,A,,,,,,,525910,6722,,,
033946,2020/12/31,2020,INDL,C,D,STD,HEMB.,44054T109,HORIZONS ACV EMG MKT BND ETF,CAD,7,,A,,,,,,,525910,6722,,,
033948,2020/12/31,2020,INDL,C,D,STD,BRPHF,G37092106,GALAXY DIGITAL HOLDINGS LTD,USD,19,0001405064,A,523110,6211,4020,402030,40,40203010,523110,6211,,,0
033949,2020/12/31,2020,INDL,C,D,STD,HBAL.,44053R104,HORIZONS BALANCED TRI ETF,CAD,7,,A,,,,,,,525910,6722,,,
033950,2020/12/31,2020,INDL,C,D,STD,HCON.,44053V105,HORIZONS CONSERVATIV TRI ETF,CAD,7,,A,,,,,,,525910,6722,,,
033951,2020/12/31,2020,INDL,C,D,STD,FTDR,35905A109,FRONTDOOR INC,USD,14,0001727263,A,236118,1520,2530,253020,25,25302020,236118,1520,,,0
033955,2020/12/31,2020,INDL,C,D,STD,ELAN,28414H103,ELANCO ANIMAL HLTH INC,USD,11,0001739104,A,325412,2834,3520,352020,35,35202010,325412,2834,,,0
033956,2020/12/31,2020,INDL,C,D,STD,JAPN.,12559J207,CI WISDOMTREE JAPAN EQY ETF,CAD,7,,A,,,,,,,525910,6722,,,
033957,2020/12/31,2020,INDL,C,D,STD,CHNA.,17164T102,CI ICBCCS S&P CHNA 500 ETF,CAD,7,,A,,,,,,,525910,6722,,,
033962,2020/09/30,2020,INDL,C,D,STD,MESA,590479135,MESA AIR GROUP,USD,14,0000810332,A,481111,4512,2030,203020,20,20302010,481111,4512,,,0
033971,2020/12/31,2020,INDL,C,D,STD,RTLR,75419T103,RATTLER MDSTRM PRTNRS LP,USD,14,0001748773,A,,,1010,101020,10,10102040,486,4922,,,0
033972,2020/12/31,2020,INDL,C,D,STD,PJUL,45782C813,INNOVATOR US EQ PWR ETF -JUL,USD,21,,A,,,,,,,525910,6722,,,
033973,2020/12/31,2020,INDL,C,D,STD,UJUL,45782C839,INNOVATOR US EQ UL ETF -JUL,USD,21,,A,,,,,,,525910,6722,,,
033974,2020/12/31,2020,INDL,C,D,STD,DRSK,26922A388,APTUS DEFINED RISK ETF,USD,21,,A,,,,,,,525910,6722,,,
033975,2020/12/31,2020,INDL,C,D,STD,BBAX,46641Q233,JP MORGAN BTA BLDR DVP ETF,USD,21,,A,,,,,,,525910,6722,,,
033976,2020/12/31,2020,INDL,C,D,STD,BBCA,46641Q225,J.P. MORGAN BTBLR CANADA ETF,USD,21,,A,,,,,,,525910,6722,,,
033980,2020/02/29,2019,INDL,C,D,STD,LOAC,G56372132,LONGEVITY ACQUISITION,USD,14,0001743858,I,999990,9995,,,,,999990,9995,,,0
033983,2020/12/31,2020,INDL,C,D,STD,BSJQ,46138J635,INVESCO BTR 2026 HGH YLD ETF,USD,14,,A,,,,,,,525910,6722,,,
033984,2020/12/31,2020,INDL,C,D,STD,BSCS,46138J643,INVESCO BULTSHR 2028 CRP ETF,USD,14,,A,,,,,,,525910,6722,,,
033990,2020/12/31,2020,INDL,C,D,STD,EMMF,97717Y782,EMERGING MARKETS MLTIFCT ETF,USD,17,,A,,,,,,,525910,6722,,,
033991,2020/12/31,2020,INDL,C,D,STD,DWMF,97717Y774,INTERNATIONAL MULTFACTR ETF,USD,17,,A,,,,,,,525910,6722,,,
033995,2020/12/31,2020,INDL,C,D,STD,LCKYF,38118M100,GOLDEN SKY MINERALS CORP,CAD,19,,A,,,1510,151040,15,15104030,212221,1040,,,0
033997,2020/12/31,2020,INDL,C,D,STD,ETON,29772L108,ETON PHARMACEUTICALS,USD,14,0001710340,A,325414,2836,3520,352020,35,35202010,325414,2836,,,0
033998,2020/11/30,2020,INDL,C,D,STD,YVR,53634Q204,LIQUID MEDIA GROUP LTD,CAD,14,0000884247,A,,,5020,502020,50,50202010,519130,7370,,,0
033999,2020/12/31,2020,INDL,C,D,STD,AMTB,023576101,AMERANT BANCORP INC,USD,14,0001734342,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
033999,2020/12/31,2020,FS,C,D,STD,AMTB,023576101,AMERANT BANCORP INC,USD,14,0001734342,A,522110,6020,4010,401010,40,40101015,522110,6020,,,0
034003,2020/12/31,2020,INDL,C,D,STD,MDJH,G59290109,MDJM LTD,USD,14,0001741534,A,531210,6531,6010,601020,60,60102040,531210,6531,,,0
034005,2020/12/31,2020,INDL,C,D,STD,AAAU,38150K103,GOLDMAN SACHS PHYSCL GLD ETF,USD,17,,A,,,,,,,525910,6722,,,
034006,2020/12/31,2020,INDL,C,D,STD,CHNA,26922A370,LONCAR CHINA BIOPHARMA ETF,USD,14,,A,,,,,,,525910,6722,,,
034010,2020/12/31,2020,INDL,C,D,STD,CRK,205768302,COMSTOCK RESOURCES INC,USD,11,0000023194,A,2111,1311,1010,101020,10,10102020,2111,1311,,,0
034016,2020/12/31,2020,INDL,C,D,STD,ETTX,293614103,ENTASIS THRPTCS HLDNG,USD,14,0001724344,A,325414,2836,3520,352010,35,35201010,325414,2836,,,0
034023,2020/02/29,2019,INDL,C,D,STD,TZACU,G8708A124,TENZING ACQUISITION,USD,14,,I,999990,9995,,,,,999990,9995,,,0
034029,2020/12/31,2020,INDL,C,D,STD,FTCH,30744W107,FARFETCH LTD,USD,11,0001740915,A,519130,7370,2550,255020,25,25502020,519130,7370,,,0
034030,2020/12/31,2020,INDL,C,D,STD,HFFG,40417F109,HF FOODS GROUP INC,USD,14,0001680873,A,4244,5140,3010,301010,30,30101020,4244,5140,,,0
034034,2020/12/31,2020,INDL,C,D,STD,FLMN,30607B109,FALCON MINERALS CORP,USD,14,0001703785,A,211120,1311,1010,101020,10,10102020,211120,1311,,,0
034038,2020/06/30,2020,INDL,C,D,STD,PLIN,G21621100,CHINA XIANGTAI FOOD CO LTD,USD,14,0001735556,A,311611,2011,3020,302020,30,30202030,311611,2011,,,0
034039,2020/12/31,2020,INDL,C,D,STD,ARCE,G04553106,ARCO PLATFORM LTD,USD,14,0001740594,A,61,8200,2530,253020,25,25302010,61,8200,,,0
034040,2020/12/31,2020,INDL,C,D,STD,WOMN,45259A100,YWCA WOMENS EMPOWERMENT ETF,USD,17,,A,,,,,,,525910,6722,,,
034048,2020/12/31,2020,INDL,C,D,STD,LTHM,53814L108,LIVENT CORP,USD,11,0001742924,A,325180,2810,1510,151010,15,15101050,325180,2810,,,0
034049,2020/12/31,2020,INDL,C,D,STD,VIDY.,92202A100,VANGUARD FTSE DEV EX NA ETF,CAD,7,,A,,,,,,,525910,6722,,,
034050,2020/12/31,2020,INDL,C,D,STD,AUSF,37954Y574,GLOBAL X ADAPT US FACTOR ETF,USD,17,,A,,,,,,,525910,6722,,,
034051,2020/12/31,2020,INDL,C,D,STD,GTX,366505105,GARRETT MOTION INC,USD,14,0001735707,A,336310,3714,2510,251010,25,25101010,336310,3714,,,0
034053,2020/12/31,2020,INDL,C,D,STD,REZI,76118Y104,RESIDEO TECHNOLOGIES,USD,11,0001740332,A,423690,5065,2010,201020,20,20102010,423690,5065,,,0
034054,2020/12/31,2020,INDL,C,D,STD,XYF,98372W202,X FINANCIAL -ADR,USD,11,0001725033,A,519130,7370,4020,402020,40,40202010,519130,7370,,,0
034055,2020/01/31,2019,INDL,C,D,STD,KLXE,48253L205,KLX ENERGY SERVS HLDNG,USD,14,0001738827,A,213112,1389,1010,101010,10,10101020,213112,1389,,,0
